Sr.No,x,y,z,PotholeValues
1,-0.8977814,9.307983,-1.351593,0
2,-2.0577698,8.873444,-1.5838318,0
3,-0.70983887,8.744156,-1.6149597,0
4,-1.4855499,8.619659,-1.1205597,0
5,-1.4687958,9.444458,-1.4282074,0
6,-0.3447113,9.892166,-0.89190674,0
7,-0.271698,9.66951,-2.232666,0
8,-1.5262604,9.525864,-0.20237732,0
9,-1.3646393,9.698242,-1.4868774,0
10,0.14968872,9.604874,-1.3875122,0
11,0.3855133,9.913727,-0.103027344,0
12,0.43818665,10.438049,-0.54356384,0
13,1.0594788,10.078918,-1.6329193,0
14,0.38790894,9.494736,-0.7051697,0
15,0.32925415,10.0466,-1.1528778,0
16,0.17242432,9.932877,-2.2590027,0
17,-0.071777344,8.950058,-1.6963654,0
18,-0.5314636,9.087723,-1.0247955,0
19,-0.75053406,9.159546,-1.0379639,0
20,0.14848328,9.1380005,-0.28138733,0
21,0.40826416,9.443253,-0.35202026,0
22,0.32565308,9.677887,-1.2390747,0
23,-0.0047454834,9.292419,-1.0020447,0
24,-0.6116638,9.418121,-0.2861786,0
25,-1.0665741,9.195465,-1.6113739,0
26,-0.8726349,8.934494,-0.8595886,0
27,0.023986816,8.30481,-2.2937164,0
28,0.49684143,8.672333,-1.2666016,0
29,1.0499115,9.534241,-1.7442474,0
30,1.5227661,9.743729,-0.8536072,0
31,0.5710602,9.794006,-1.3192749,0
32,-0.6667328,9.363052,-1.6389008,0
33,-0.9109497,9.656342,-0.63453674,0
34,-0.8127899,9.638382,-2.2266846,0
35,-0.7732849,8.905762,-1.6855927,0
36,-1.5262604,8.89978,-2.3380127,0
37,-1.746521,9.327133,-1.133728,0
38,-0.9229126,10.192642,-0.8931122,0
39,-0.5254822,9.5522,-2.287735,0
40,1.0451202,8.702255,-1.5958099,0
41,0.5602875,9.681488,0.96240234,0
42,-1.628006,10.892944,0.5482025,0
43,-3.1279755,9.804779,-4.820801,0
44,-1.8051758,8.314392,-0.5315857,0
45,-0.12684631,10.928864,-0.05873108,0
46,-1.0821381,10.417694,-2.0327454,1
47,0.6273346,9.263687,-2.4194183,1
48,1.1755981,9.318756,-0.1413269,1
49,0.82844543,9.541428,-2.2901306,1
50,0.5902252,9.681488,-0.48249817,1
51,1.158844,10.494308,-1.6412964,1
52,1.8100586,10.537415,-0.3352661,1
53,2.2805328,10.821121,-0.64411926,1
54,1.4724884,10.391357,-0.7913513,1
55,1.2390442,9.662323,-0.55433655,1
56,1.2318726,9.832321,-0.62615967,1
57,1.0499115,9.427704,-0.59384155,1
58,0.81288147,9.398972,-0.22871399,1
59,-0.04185486,9.31517,-1.7873383,1
60,-0.0155181885,9.392975,-1.1373138,1
61,0.1401062,9.741333,-2.5127869,1
62,-0.6547699,8.587326,-1.9549408,1
63,-1.2784576,7.5602264,-3.0682373,1
64,-1.9548187,7.076584,-2.0566864,1
65,-1.8458862,6.693512,-2.8180542,1
66,-1.5897064,7.056244,-2.0243683,1
67,-1.3754272,8.043854,-2.9628906,1
68,-1.4352722,8.053421,-2.4074402,1
69,-1.1922607,7.179535,-0.78178406,1
70,-1.7201843,6.032715,-2.0124054,1
71,-2.9771423,6.5091705,-4.176758,1
72,-2.422882,8.271301,-3.213089,1
73,0.102996826,13.367355,3.191391,1
74,4.0223083,13.831833,1.1994171,1
75,5.839508,12.058929,-4.468857,1
76,3.8954163,11.857819,1.6746674,1
77,1.644867,14.527344,1.8566284,1
78,1.2737579,10.119614,-3.4082184,1
79,2.7689362,9.744934,2.4444122,1
80,1.905838,10.757675,-4.4676514,1
81,1.4090424,9.670715,1.4125061,1
82,1.0379333,10.356644,-1.9369812,1
83,0.7757721,10.569733,-1.6688385,1
84,0.38790894,10.433258,-2.9605103,1
85,-0.28726196,9.878998,-1.3635712,1
86,-0.13282776,8.492767,-2.8491669,1
87,-0.5865326,7.6164856,-1.2558289,1
88,-0.72180176,7.3878326,-3.6931305,1
89,-0.904953,7.8654785,-2.1153564,1
90,-0.90974426,8.191086,-2.7988892,1
91,-0.86665344,9.051804,-1.0355682,1
92,-1.1132507,8.180313,-2.8970642,1
93,-0.8965759,7.7792816,-0.2670288,1
94,-0.6164551,7.981598,-2.2374573,1
95,-0.8642578,8.355087,-0.32688904,1
96,-0.63560486,8.693878,-1.9094543,1
97,0.15327454,8.941681,-1.5503235,1
98,0.26939392,8.72261,-1.1516876,1
99,-0.4129486,8.91893,-1.5670776,1
100,-0.30162048,8.109695,-1.6508789,1
101,-1.2497253,8.1073,-0.72550964,1
102,-0.2250061,9.23497,-2.40625,1
103,1.8220367,11.15152,1.0150757,1
104,4.2198334,12.169052,-6.5122986,1
105,3.001175,8.781265,-1.5275726,1
106,0.081451416,8.58374,0.30158997,1
107,1.534729,10.854645,-3.7757263,1
108,0.7578125,9.764084,-1.8699493,1
109,0.6979523,8.513107,-2.3499756,1
110,-0.9803772,7.163986,3.9575348,1
111,2.4433289,11.271225,-5.3259735,1
112,1.6676025,10.6918335,-7.9595947,1
113,-0.5434418,9.221802,-1.3551941,1
114,-1.078537,9.012299,-2.098587,1
115,-1.157547,9.01709,-2.1979523,1
116,-1.260498,8.673523,-2.5750427,1
117,-0.5589905,9.067368,-2.3080902,1
118,-0.67871094,8.956039,-2.2769623,1
119,-0.7445526,9.324753,-1.5263824,1
120,-1.2174072,9.462418,-3.0419006,1
121,-1.2042389,9.424103,-2.280548,1
122,-0.54463196,9.297211,-2.8156586,1
123,-0.21662903,9.01709,-2.0770416,1
124,0.36515808,8.713028,-2.2027435,1
125,0.78175354,8.514313,-2.837204,0
126,0.45254517,8.261719,-2.524765,0
127,0.28016663,8.398193,-2.7629852,0
128,0.48008728,8.856674,-2.9114227,0
129,0.8882904,9.23735,-4.6232758,0
130,0.4142456,9.228973,-1.3492126,0
131,0.9637146,8.537048,-2.3009033,0
132,0.47410583,8.279678,-2.7246704,0
133,0.28137207,8.659164,-3.6608124,0
134,0.30052185,8.8063965,-1.8855133,0
135,0.62493896,9.130814,-3.0730286,0
136,1.1265259,9.536636,-1.6532745,0
137,0.74224854,9.667114,-3.1927338,0
138,0.36038208,9.859848,-1.6927795,0
139,0.36994934,9.547409,-3.244217,0
140,0.04434204,9.329529,-1.8160706,0
141,-0.2549286,9.503113,-2.6336975,0
142,-0.22142029,9.851471,-2.5822144,0
143,-0.33753967,9.537827,-2.303299,0
144,-0.30641174,9.297211,-3.3459625,0
145,-0.79122925,8.685501,-2.3475952,0
146,-0.983963,8.851898,-3.355545,0
147,-1.6076508,9.272079,-2.5403137,0
148,-0.95285034,8.872238,-3.3483582,0
149,0.076660156,9.030258,-2.105774,0
150,0.06828308,8.343124,-3.687149,0
151,-0.13761902,8.489166,-2.2254791,0
152,0.086242676,8.399384,-2.845581,0
153,0.3232727,8.665146,-2.6013794,0
154,0.3065033,8.574158,-1.9932404,0
155,0.60816956,9.126022,-2.4804688,0
156,0.5902252,9.152359,-1.9932404,0
157,0.8763275,9.264893,-2.0997925,0
158,0.8739319,9.349884,-2.1189423,0
159,1.2558136,9.564163,-1.5275726,0
160,1.4664917,9.928085,-1.7107239,0
161,1.0941925,9.448044,-2.8503723,0
162,1.1624298,9.466003,-2.0339508,0
163,0.90745544,10.044205,-2.121338,0
164,0.6608429,10.590088,-3.5782013,0
165,0.53634644,9.712601,-3.3328094,0
166,0.23468018,9.153564,-2.6540527,0
167,-0.63082886,9.336716,-2.995224,0
168,-0.4320984,8.799225,1.3993378,0
169,-0.30880737,9.154755,0.3794098,0
170,-0.66433716,8.815979,-2.5498962,0
171,-0.5757599,8.119263,-1.3970947,0
172,-0.821167,8.167145,-1.4389954,0
173,-0.9217224,9.2565155,-1.564682,0
174,-0.23698425,9.050613,-2.0794373,0
175,0.052719116,9.407349,-1.6125641,0
176,-0.4488678,9.703033,-1.5060272,0
177,-1.0414276,9.372635,-1.2175293,0
178,-0.687088,9.181091,-0.6800232,0
179,-0.2250061,9.614441,-0.6357269,0
180,0.1006012,9.790421,-0.9218445,0
181,0.37953186,9.646759,-1.3108978,0
182,0.6668396,9.638382,-1.9824677,0
183,0.88230896,9.209824,-1.7011566,0
184,0.6345062,9.426498,-0.8883209,0
185,0.34002686,9.519867,-1.5922241,0
186,0.24545288,8.553818,-2.909027,0
187,0.9720917,8.418533,-1.5048218,0
188,1.0163879,9.061386,-1.4629364,0
189,0.40586853,9.172714,-1.3934937,0
190,0.46931458,9.35228,-1.4928589,0
191,0.29093933,8.994339,-2.497223,0
192,-0.35429382,8.480789,-1.0499268,0
193,-0.47280884,8.975189,-2.4553223,0
194,-0.1232605,9.639587,-0.98168945,0
195,0.6776123,10.3554535,-1.3851166,0
196,1.1325073,10.286011,-1.054718,0
197,0.80210876,9.284042,-0.06591797,0
198,0.13172913,9.495926,-1.1660461,0
199,0.13291931,10.406921,-1.6736145,0
200,-0.6727295,9.635986,-0.9290161,0
201,-0.742157,9.323547,-2.1333008,0
202,-0.7672882,8.944061,-1.5587006,0
203,-1.1599426,8.547821,-1.406662,0
204,-1.2317657,8.26651,-2.0722504,0
205,-1.2281799,7.891815,-2.2254791,0
206,-1.8434906,8.945267,-0.96014404,0
207,-0.6691284,10.209396,-2.9210052,0
208,0.35438538,10.385376,1.127594,0
209,0.8368225,9.49234,-1.8507843,0
210,0.7207031,7.9061737,-1.9681091,0
211,-1.3574677,9.030258,0.05619812,0
212,-0.23338318,11.777603,-0.55792236,0
213,2.3248138,9.161942,-1.5239868,0
214,0.93258667,9.000336,1.0964661,0
215,1.9022369,10.405731,-3.4321594,0
216,1.6951447,9.886185,1.4627838,0
217,0.42262268,10.532623,-2.1967468,0
218,-0.2142334,10.20462,-0.36279297,0
219,0.91941833,9.25531,-1.0738678,0
220,0.5806427,8.97879,-1.6305237,0
221,0.4322052,9.346298,-1.2761841,0
222,0.11376953,9.527054,-1.3779297,0
223,-0.67152405,8.012726,-2.0710602,0
224,-1.1635284,8.007935,-0.9577484,0
225,-0.90734863,8.9644165,-2.3775177,0
226,-0.70983887,8.337143,-1.8436127,0
227,-0.53266907,8.357483,-1.6425018,0
228,-0.84510803,8.566986,-1.8687439,0
229,-1.3825989,7.752945,-1.6389008,0
230,-2.4707642,7.3710785,-1.288147,0
231,-2.2074127,8.932098,-1.8687439,0
232,0.30171204,9.626419,-1.2618103,0
233,0.82125854,9.902939,-0.8560028,0
234,1.5969849,11.016251,-2.8755035,0
235,3.0335083,10.701416,0.83670044,0
236,1.8459778,10.044205,-1.1468964,0
237,2.424179,9.664719,-2.4649048,0
238,3.7134552,9.312775,1.2736359,0
239,0.05152893,10.852249,0.24772644,0
240,-3.4464111,10.695419,-3.1460571,0
241,2.2218628,9.287628,0.22019958,0
242,4.8566895,9.0589905,-2.7701569,0
243,-1.1060791,10.253693,0.15675354,0
244,0.83203125,11.086884,-3.5853882,0
245,0.9780731,7.7385864,-1.9812775,0
246,-1.4999237,9.170319,3.5505219,0
247,-1.7884216,11.390945,-4.726227,0
248,-2.900528,5.7059174,-2.8108673,0
249,-1.0522003,7.93013,2.447998,0
250,-0.9217224,12.641907,-4.3180084,0
251,-0.7828522,9.691055,0.31236267,0
252,1.5921936,7.7709045,-1.9705048,0
253,2.2314453,9.741333,-1.8531799,0
254,-0.6655426,11.088074,2.8969116,0
255,-3.058548,9.697037,-5.2816772,0
256,-0.99594116,7.491989,-0.8272705,0
257,2.5366974,10.846268,1.4903107,0
258,2.6935272,11.4938965,-7.1312103,0
259,4.0234985,7.8164062,3.2668152,0
260,5.2517242,10.007095,-2.7701569,0
