Sr.No,x,y,z,lat,long,PotholeValues
1,-2.4719696,8.40657,1.8518372,19.1958589,73.1960138,0
2,-1.9823456,8.637604,2.3354645,19.1958589,73.1960138,0
3,-1.7680664,8.398193,2.9376068,19.1958589,73.1960138,0
4,-2.157135,8.144409,2.926834,19.1958589,73.1960138,0
5,-4.1371307,8.417343,0.32315063,19.1958589,73.1960138,0
6,-4.229309,8.865067,-1.1157684,19.1958589,73.1960138,0
7,-3.137558,9.329529,1.8302917,19.1958589,73.1960138,0
8,-4.07489,9.621628,3.8964844,19.1958589,73.1960138,0
9,-3.873764,8.322769,3.1890106,19.1958589,73.1960138,0
10,-3.829483,7.8295593,2.455185,19.1958589,73.1960138,0
11,-3.4882965,8.398193,2.926834,19.1958589,73.1960138,0
12,-2.603653,8.473602,3.0932312,19.1958589,73.1960138,0
13,-2.0266418,8.631622,2.764038,19.1959667,73.1958285,0
14,-1.7213898,8.863861,2.3725739,19.1959667,73.1958285,0
15,-1.7189941,8.641205,2.0577393,19.1959667,73.1958285,0
16,-2.3773956,8.474808,1.8769836,19.1959667,73.1958285,0
17,-3.394928,8.438889,1.929657,19.1959667,73.1958285,0
18,-4.064102,8.452057,2.1822357,19.1959667,73.1958285,0
19,-4.285568,8.605286,2.5641174,19.1959667,73.1958285,0
20,-4.316696,8.730988,3.1303406,19.1959667,73.1958285,0
21,-4.01503,8.566986,3.866562,19.1959667,73.1958285,0
22,-3.4727478,8.221024,4.4339905,19.1959667,73.1958285,0
23,-2.9472198,7.8379517,4.744034,19.1959667,73.1958285,0
24,-2.5509796,7.452484,5.0983734,19.1959667,73.1958285,0
25,-2.382187,6.929352,5.2240753,19.1959667,73.1958285,0
26,-2.6144257,6.539093,5.097183,19.1959667,73.1958285,0
27,-3.003479,6.689926,4.9655,19.1959667,73.1958285,0
28,-2.9136963,7.0430756,4.9355774,19.1959667,73.1958285,0
29,-2.4037323,7.287277,4.949936,19.1959667,73.1958285,0
30,-2.2074127,7.749359,5.3988495,19.1959667,73.1958285,0
31,-2.2672577,8.058212,5.9602966,19.1959667,73.1958285,0
32,-2.4492188,7.866684,5.859741,19.1959667,73.1958285,0
33,-2.5318146,8.077362,5.4144135,19.1959667,73.1958285,0
34,-2.6694794,8.481979,5.091202,19.1959667,73.1958285,0
35,-2.6012573,8.359879,5.0636597,19.1959667,73.1958285,0
36,-2.3402863,7.890625,5.061264,19.1959667,73.1958285,0
37,-2.2181854,7.4931793,4.9272003,19.1959667,73.1958285,0
38,-2.1080475,7.3543243,4.8098755,19.1959667,73.1958285,0
39,-1.935669,7.4704437,5.073242,19.1959667,73.1958285,0
40,-1.8973541,7.539871,5.5963745,19.1959667,73.1958285,0
41,-2.1044617,7.4033966,6.8688965,19.1959667,73.1958285,0
42,-2.7173767,7.384247,9.301407,19.1959667,73.1958285,0
43,-2.7784271,7.7110596,10.690033,19.1959667,73.1958285,0
44,-1.9320679,8.252136,8.9721985,19.1959667,73.1958285,0
45,-1.3263397,8.213837,6.285904,19.1959667,73.1958285,0
46,-1.80159,7.739792,5.0624695,19.1959667,73.1958285,0
